ts_us,ax,ay,az,gx,gy,gz,mx,my,mz,temp,roll,pitch,yaw,sys_cal,gyro_cal,acc_cal,mag_cal
3969530193,-0.2400,0.6900,-9.7800,0.0625,-0.0000,0.0625,51.0625,-8.0000,42.0625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969540193,-0.2400,0.6800,-9.7800,-0.0625,0.0625,-0.0000,51.0625,-8.0000,42.0625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969550193,-0.2200,0.6700,-9.7800,-0.0625,-0.0000,-0.0625,51.0625,-8.0000,42.0625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969560193,-0.2200,0.6900,-9.8100,-0.0625,0.0625,-0.0625,51.0625,-8.0000,42.0625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969570193,-0.2200,0.7000,-9.8000,-0.1875,-0.0000,-0.0000,50.0625,-7.5625,42.8750,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969580193,-0.2300,0.6700,-9.7900,-0.1250,-0.1250,0.0625,50.0625,-7.5625,42.8750,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969590193,-0.2300,0.7200,-9.7900,-0.0625,0.0625,0.0625,50.0625,-7.5625,42.8750,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969600193,-0.2300,0.7000,-9.7900,0.0625,0.1875,0.1250,50.0625,-7.5625,42.8750,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969610193,-0.2200,0.7000,-9.8000,-0.1250,0.0625,-0.0000,50.0625,-7.5625,42.8750,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969620193,-0.2200,0.6800,-9.7900,-0.1250,0.1250,-0.0000,51.0625,-7.5625,42.5625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969630193,-0.2400,0.7100,-9.7800,0.0625,0.0625,-0.0625,51.0625,-7.5625,42.5625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969640193,-0.2300,0.7200,-9.7900,-0.0000,-0.0000,-0.0625,51.0625,-7.5625,42.5625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969650193,-0.2300,0.6900,-9.8000,0.0625,-0.0000,-0.0625,51.0625,-7.5625,42.5625,26.0,1.1250,3.9375,85.3750,3,3,3,3
3969660193,-0.2300,0.7100,-9.8000,-0.0625,0.0625,0.1250,51.0625,-7.5625,42.5625,26.0,1.1250,3.9375,85.3750,3,3,3,3
